path	source	license	notes
src-tauri/icons/32x32.png	Tauri project icon template	MIT OR Apache-2.0	Bundled by Tauri init template; used as desktop app icon asset.
src-tauri/icons/128x128.png	Tauri project icon template	MIT OR Apache-2.0	Bundled by Tauri init template; used as desktop app icon asset.
src-tauri/icons/128x128@2x.png	Tauri project icon template	MIT OR Apache-2.0	Bundled by Tauri init template; used as desktop app icon asset.
src-tauri/icons/icon.icns	Tauri project icon template	MIT OR Apache-2.0	Bundled by Tauri init template; used for macOS packaging.
src-tauri/icons/icon.ico	Tauri project icon template	MIT OR Apache-2.0	Bundled by Tauri init template; used for Windows packaging.
src-tauri/icons/icon.png	Tauri project icon template	MIT OR Apache-2.0	Bundled by Tauri init template; source icon image for generated platform variants.
src-tauri/icons/Square30x30Logo.png	Tauri project icon template	MIT OR Apache-2.0	Windows tile icon variant generated from template asset.
src-tauri/icons/Square44x44Logo.png	Tauri project icon template	MIT OR Apache-2.0	Windows tile icon variant generated from template asset.
src-tauri/icons/Square71x71Logo.png	Tauri project icon template	MIT OR Apache-2.0	Windows tile icon variant generated from template asset.
src-tauri/icons/Square89x89Logo.png	Tauri project icon template	MIT OR Apache-2.0	Windows tile icon variant generated from template asset.
src-tauri/icons/Square107x107Logo.png	Tauri project icon template	MIT OR Apache-2.0	Windows tile icon variant generated from template asset.
src-tauri/icons/Square142x142Logo.png	Tauri project icon template	MIT OR Apache-2.0	Windows tile icon variant generated from template asset.
src-tauri/icons/Square150x150Logo.png	Tauri project icon template	MIT OR Apache-2.0	Windows tile icon variant generated from template asset.
src-tauri/icons/Square284x284Logo.png	Tauri project icon template	MIT OR Apache-2.0	Windows tile icon variant generated from template asset.
src-tauri/icons/Square310x310Logo.png	Tauri project icon template	MIT OR Apache-2.0	Windows tile icon variant generated from template asset.
src-tauri/icons/StoreLogo.png	Tauri project icon template	MIT OR Apache-2.0	Windows store icon variant generated from template asset.
src-tauri/icons/64x64.png	Tauri project icon template	MIT OR Apache-2.0	Desktop icon variant generated from template asset.
src-tauri/icons/android/mipmap-hdpi/ic_launcher_foreground.png	Tauri project icon template	MIT OR Apache-2.0	Android launcher foreground icon generated from template asset.
